,0,1,2,3
0,Mã ngành: 7140206,Tên ngành: Giáo dục Thể chất (Giảng dạy giáo dục thể chất các bậc học; hướng dẫn viên TDTT; chuyên viên quản lý TDTT…),Tổ hợp môn: T00,NV1: 20.00
1,Mã ngành: 7140207,Tên ngành: Huấn luyện thể thao (Huấn luyện viên TDTT; hướng dẫn viên TDTT; chuyên viên quản lý TDTT),Tổ hợp môn: T00,NV1: 20.00
2,Mã ngành: 7220343,Tên ngành: Quản lý thể dục thể thao (Chuyên viên quản lý TDTT; giảng viên giáo dục thể chất các bậc học; hướng dẫn viên TDTT),Tổ hợp môn: T00,NV1: 20.00
3,Mã ngành: 7720305,"Tên ngành: Y sinh học thể dục thể thao (Cán bộ y sinh học TDTT trong các trung tâm TDTT, trường nghiệp vụ TDTT và các đội tuyển TDTT; giảng viên giảng dạy y sinh học TDTT; hướng dẫn viên TDTT)",Tổ hợp môn: T00,NV1: 20.00
