,0,1,2,3
0,Mã ngành: 7860210,Tên ngành: Thí sinh Nam Quân khu 9,Tổ hợp môn: A00,NV1: 23.75
1,Mã ngành: 7860210,Tên ngành: Thí sinh Nam Quân khu 7,Tổ hợp môn: A00,NV1: 23.25
2,Mã ngành: 7860210,Tên ngành: Thí sinh Nam Quân khu 5,Tổ hợp môn: A00,NV1: 24.00
3,Mã ngành: 7860210,Tên ngành: Thí sinh Nam Quân khu 4 (Quảng Trị và TT-Huế),Tổ hợp môn: A00,NV1: 23.50
